permit_id,year,file_date,issue_date,permit_subtype,job_description,job_value,total_fees_paid,ward,neighborhood,latitude,longitude
B24027459,2024,2024-09-27,2025-05-16,Residential,Alteration,21000,166.45,1,Union-Miles,41.4423459149074,-81.5908281121898
B24029472,2024,2024-10-17,2025-05-15,Residential,Alteration,46299,277.55,15,Edgewater,41.4851589147072,-81.7541870582963
B24018824,2024,2024-07-05,2025-05-15,Commercial,Alteration,600000,9460.6,7,Goodrich-Kirtland Pk,41.5074159061441,-81.6584900859465
B24036397,2024,2024-12-27,2025-05-15,Residential,Alteration,5081,70.5,16,Jefferson,41.4488169226679,-81.7819970527457
B24024921,2024,2024-09-04,2025-05-15,Commercial,Alteration,15000,402.35,5,Broadway-Slavic Village,41.4777609112574,-81.6516905904994
B24026158,2024,2024-09-16,2025-06-02,Commercial,Alteration,1098340,17195.47,3,Downtown,41.4999189090954,-81.6921725761833
B24035844,2024,2024-12-19,2025-05-14,Residential,Alteration,23000,156.35,4,Mount Pleasant,41.4704979096576,-81.5889921104338
B24033054,2024,2024-11-21,2025-05-14,Residential,Alteration,9000,85.65,11,Jefferson,41.4470889224523,-81.7706570563812
B24027408,2024,2024-09-26,2025-05-13,Commercial,Demolition,20000,500.2,5,Downtown,41.4968499090742,-81.6797345802723
B24033133,2024,2024-11-22,2025-05-13,Residential,Alteration,30000,191.7,12,Old Brooklyn,41.4409599199491,-81.6932705807274
B24025456,2024,2024-09-09,2025-05-11,Residential,Alteration,9985,90.7,17,Kamm's,41.4311319278336,-81.8230100415848
B24034388,2024,2024-12-05,2025-05-11,Residential,Alteration,13775,110.9,1,Lee-Harvard,41.4521199119699,-81.5663076189462
B24029703,2024,2024-10-21,2025-05-07,Residential,Alteration,10000,90.7,17,Kamm's,41.4371979263408,-81.8148875435821
B24031313,2024,2024-11-05,2025-05-07,Residential,Alteration,10000,90.7,1,Mount Pleasant,41.4618309105213,-81.5734446159443
B24026295,2024,2024-09-17,2025-05-07,Residential,Alteration,10000,90.7,17,Kamm's,41.4444789246509,-81.8073050453126
B24030572,2024,2024-10-29,2025-05-07,Residential,Alteration,10000,90.7,11,Jefferson,41.4497439223302,-81.7784195537705
B24027645,2024,2024-09-09,2025-05-07,Residential,Alteration,16155.9,126.05,17,Kamm's,41.459022921409,-81.7949975478954
B24022649,2024,2024-08-13,2025-05-05,Residential,Alteration,700,70.5,2,Mount Pleasant,41.4635049105427,-81.5804826136355
B24019626,2024,2024-07-09,2025-05-01,Residential,Alteration,10000,90.7,1,Mount Pleasant,41.4618309105213,-81.5734446159443
B24021946,2024,2024-08-06,2025-05-01,Commercial,Alteration,39500,788.6,3,Downtown,41.5035729083285,-81.6900845765239
B24030636,2024,2024-10-30,2025-05-01,Residential,Correct Violation,6000,70.5,16,Jefferson,41.462667920067,-81.7806335520166
B24018633,2024,2024-07-03,2025-05-01,Residential,Alteration,10000,90.7,4,Kinsman,41.4721089105633,-81.6147006023723
B24028687,2024,2024-10-10,2025-05-01,Residential,Correct Violation,7000,75.55,13,Old Brooklyn,41.4327339216724,-81.697860579993
B24003070,2024,2024-02-01,2025-04-30,Residential,Alteration,19344,141.2,17,Kamm's,41.4577809217525,-81.7974680472378
B24017718,2024,2024-06-25,2025-04-30,Residential,Alteration,5814,70.5,1,Union-Miles,41.4457299139469,-81.5835516141547
B24011024,2024,2024-04-12,2025-04-30,Residential,Alteration,10000,90.7,4,Mount Pleasant,41.4709929095668,-81.588992110393
B24033160,2024,2024-11-22,2025-04-29,Residential,Alteration,500,70.5,11,Jefferson,41.4550449212658,-81.7764305539435
B24026186,2024,2024-08-14,2025-04-18,Commercial,Sign,107900,1375.48,13,Old Brooklyn,41.4400239206996,-81.7056365769947
B24026989,2024,2024-09-24,2025-04-17,Residential,Alteration,9000,85.65,12,Broadway-Slavic Village,41.4493029157393,-81.6359720976975
B24029895,2024,2024-10-22,2025-04-17,Commercial,Addition,2231367,22072.52,6,Union-Miles,41.462892912608,-81.6222966007914
B24027798,2024,2024-10-01,2025-04-24,Commercial,Fence,3642,195.1,1,Lee-Harvard,41.449986911972,-81.5579601216966
B24033454,2024,2024-11-26,2025-04-24,Residential,Fence-Garage-Deck-Pool,17000,90.7,15,Detroit Shoreway,41.4777879145837,-81.7227950685807
B24025265,2024,2024-09-01,2025-04-22,Commercial,Sign,4000,92.1,11,Bellaire-Puritas,41.4373149246581,-81.7794995544681
B24007005,2024,2024-03-06,2024-03-06,Residential,Demolition,10200,90.7,2,Mount Pleasant,41.4584289126336,-81.6053226063939
B24006941,2024,2024-03-06,2024-03-06,Residential,Demolition,400,90.7,2,Union-Miles,41.4563499121307,-81.5863866124048
B24006977,2024,2024-03-06,2024-03-06,Residential,Alteration,9000,85.65,15,Detroit Shoreway,41.4815859144497,-81.7347650645772
B24006116,2024,2024-02-28,2024-03-06,Residential,Alteration,4728,70.5,12,Broadway-Slavic Village,41.4591939149955,-81.658850089828
B24004800,2024,2024-02-16,2024-03-06,Residential,Alteration,8500,85.65,4,Mount Pleasant,41.4589239121447,-81.5967996089813
B24007035,2024,2024-03-06,2024-03-06,Residential,Alteration,12000,100.8,7,St.Clair-Superior,41.5198359033397,-81.6471635884095
B24002695,2024,2024-01-29,2024-03-06,Residential,Alteration,21205,151.3,12,Tremont,41.4690039145671,-81.688109079998
B24005437,2024,2024-02-23,2024-03-06,Residential,Alteration,20466,146.25,11,West Boulevard,41.456520920546,-81.7668545567704
B24002200,2024,2024-01-24,2024-03-06,Residential,Fence-Garage-Deck-Pool,40591,141.2,13,Old Brooklyn,41.4371799216185,-81.7141235746151
B24007032,2024,2024-03-06,2024-03-06,Residential,Alteration,13000,105.85,2,Union-Miles,41.4449199157036,-81.6179991036
B24006348,2024,2024-03-01,2024-03-06,Residential,Alteration,2000,70.5,6,Fairfax,41.4920709074504,-81.6263645971246
B24006963,2024,2024-03-06,2024-03-06,Residential,Demolition,8000,90.7,1,Union-Miles,41.4431469144738,-81.5846856140179
B24006982,2024,2024-03-06,2024-03-06,Residential,Demolition,12850,90.7,9,Glenville,41.5243269011202,-81.6173285972399
B24006341,2024,2024-03-01,2024-03-06,Residential,Alteration,19145,141.2,12,Broadway-Slavic Village,41.4540639157423,-81.6547100915281
B24007002,2024,2024-03-06,2024-03-06,Residential,Demolition,10200,90.7,2,Mount Pleasant,41.4624609117178,-81.6015471072253
B24006157,2024,2024-02-29,2024-03-06,Residential,Alteration,12000,100.8,2,Union-Miles,41.4523989135456,-81.6011691081722
B24006183,2024,2024-02-29,2024-03-06,Residential,Alteration,19686,141.2,16,Jefferson,41.4610569206079,-81.7858715505371
B24005330,2024,2024-02-23,2024-03-06,Residential,Alteration,4372,70.5,11,Jefferson,41.4460719226036,-81.7699100566955
B24004471,2024,2024-02-14,2024-03-06,Residential,Alteration,40000,302.8,4,Mount Pleasant,41.4671499110522,-81.6057051055559
B24007001,2024,2024-03-06,2024-03-06,Residential,Demolition,12500,90.7,3,Ohio City,41.4801189132538,-81.7035350743229
B24006962,2024,2024-03-06,2024-03-06,Residential,Demolition,8000,90.7,2,Union-Miles,41.4517689132452,-81.5922591109717
B24005066,2024,2024-02-20,2024-03-06,Commercial,Alteration,40000,850.4,6,University,41.4994599054526,-81.61259460076
B24006961,2024,2024-03-06,2024-03-06,Residential,Demolition,8000,90.7,1,Lee-Seville,41.4306099152766,-81.5525466249613
B24007007,2024,2024-03-06,2024-03-06,Residential,Demolition,12000,110.9,4,Mount Pleasant,41.4677349104102,-81.5942571090381
B24006850,2024,2024-03-05,2024-03-05,Residential,Alteration,9800,90.7,17,Kamm's,41.4574119219332,-81.799875546527
B24005232,2024,2024-02-22,2024-03-05,Residential,Alteration,8000,80.6,2,Mount Pleasant,41.4583389125925,-81.6040896067815
B24006871,2024,2024-03-05,2024-03-05,Residential,Demolition,9176,90.7,14,Brooklyn Centre,41.4597069172379,-81.7087550744052
B24005854,2024,2024-02-27,2024-03-05,Residential,Alteration,1767,70.5,1,Lee-Seville,41.442408914448,-81.5812296151444
B24005944,2024,2024-02-27,2024-03-05,Residential,Alteration,20170,146.25,16,Jefferson,41.4592209206648,-81.7799225525216
B24006306,2024,2024-02-29,2024-03-05,Residential,Alteration,3500,70.5,6,Fairfax,41.497443906193,-81.6205280984799
B24006869,2024,2024-03-05,2024-03-05,Residential,Demolition,7452,90.7,14,Clark-Fulton,41.4632079167427,-81.711878073153
B24005409,2024,2024-02-23,2024-03-05,Residential,Alteration,13000,105.85,1,Union-Miles,41.4509229126236,-81.5756136161747
B24006835,2024,2024-03-05,2024-03-05,Residential,Alteration,3500,70.5,8,Collinwood-Nottingham,41.5587968928002,-81.5743626076398
B24005301,2024,2024-02-22,2024-03-05,Residential,Alteration,2000,70.5,16,Bellaire-Puritas,41.4321129265241,-81.7989485489108
B24006854,2024,2024-03-05,2024-03-05,Commercial,Alteration,303970,4867.4,9,University,41.5058319042797,-81.61247310027
B24006452,2024,2024-03-01,2024-03-05,Residential,Fence-Garage-Deck-Pool,1189,90.7,17,Kamm's,41.4676269206388,-81.8121290419054
B24006807,2024,2024-03-05,2024-03-05,Residential,Alteration,18202,359.9,16,Jefferson,41.4617859202063,-81.7801610522353
B24006872,2024,2024-03-05,2024-03-05,Residential,Demolition,7200,90.7,15,Cudell,41.4691389178172,-81.7579535584656
B24006857,2024,2024-03-05,2024-03-05,Residential,Fence-Garage-Deck-Pool,5000,90.7,14,Stockyards,41.4610209178209,-81.7263320688805
B24006342,2024,2024-03-01,2024-03-05,Commercial,Alteration,16000,417.8,3,Tremont,41.4843129118065,-81.6890450784414
B24006790,2024,2024-03-05,2024-03-05,Residential,Alteration,9870,90.7,15,Detroit Shoreway,41.4723789164828,-81.7421630630615
B24006608,2024,2024-03-04,2024-03-05,Residential,Fence-Garage-Deck-Pool,5500,90.7,17,Kamm's,41.4407979259415,-81.8204270415782
B24005234,2024,2024-02-22,2024-03-05,Residential,Alteration,13460,110.9,1,Union-Miles,41.4485739131298,-81.5772246158715
B24005951,2024,2024-02-27,2024-03-05,Residential,Alteration,15200,121,16,Jefferson,41.4504729223859,-81.7824515524684
B24003020,2024,2024-01-31,2024-03-05,Residential,Alteration,7350,80.6,17,Kamm's,41.4399429257041,-81.8120390442314
B24001186,2024,2024-01-11,2024-03-05,Residential,Fence-Garage-Deck-Pool,4000,90.7,16,Bellaire-Puritas,41.431446925468,-81.7738385566973
B24006837,2024,2024-03-05,2024-03-05,Residential,Fence-Garage-Deck-Pool,400,121,16,Bellaire-Puritas,41.42700092683,-81.785502553474
B24004344,2024,2024-02-13,2024-03-05,Residential,Alteration,5896,70.5,15,Detroit Shoreway,41.4743859160572,-81.7409255632763
B24006849,2024,2024-03-05,2024-03-05,Residential,Alteration,6400,75.55,15,Cudell,41.4766899159312,-81.7472300611427
B24005685,2024,2024-02-26,2024-03-05,Residential,Alteration,9000,85.65,2,Union-Miles,41.4522099130299,-81.5893791118234
B24006825,2024,2024-03-05,2024-03-05,Residential,Alteration,8000,80.6,13,Old Brooklyn,41.4262629226723,-81.6938645817587
B24005175,2024,2024-02-21,2024-03-05,Residential,Alteration,5963.54,70.5,5,Broadway-Slavic Village,41.4663399134683,-81.6542060906687
B24005948,2024,2024-02-27,2024-03-05,Residential,Alteration,10525.49,95.75,17,Kamm's,41.4590589221822,-81.811593542782
B24006865,2024,2024-03-05,2024-03-05,Residential,Alteration,10000,90.7,7,St.Clair-Superior,41.5236069023452,-81.6406700900995
B24006691,2024,2024-03-04,2024-03-04,Residential,Alteration,12000,100.8,16,Bellaire-Puritas,41.4284229263277,-81.7803500549427
B24005012,2024,2024-02-20,2024-03-04,Commercial,Sign,9092,164.2,16,Bellaire-Puritas,41.4337149258261,-81.7903310514312
B24006633,2024,2024-03-04,2024-03-04,Residential,Alteration,9000,85.65,3,Ohio City,41.4779319143303,-81.7179530700608
B24006650,2024,2024-03-04,2024-03-04,Residential,Alteration,7200,80.6,15,Detroit Shoreway,41.4742599159376,-81.737883564224
B24006631,2024,2024-03-04,2024-03-04,Residential,Alteration,7100,80.6,17,Kamm's,41.4382779271897,-81.8371670366343
B24006645,2024,2024-03-04,2024-03-04,Residential,Alteration,7650,80.6,16,Bellaire-Puritas,41.4373329258784,-81.8055680464401
B24006642,2024,2024-03-04,2024-03-04,Residential,Alteration,6000,70.5,17,Kamm's,41.4565119221082,-81.8000915465352
B24005187,2024,2024-02-21,2024-03-04,Residential,Alteration,17000,126.05,17,Kamm's,41.4668619200506,-81.7966355467402
B24006624,2024,2024-03-04,2024-03-04,Residential,Alteration,8400,85.65,11,West Boulevard,41.4536859206724,-81.7584800595849
B24006635,2024,2024-03-04,2024-03-04,Residential,Alteration,8000,80.6,3,Ohio City,41.4780309143119,-81.717948570054
B24005185,2024,2024-02-21,2024-03-04,Residential,Alteration,33819,211.9,16,Jefferson,41.4483309234091,-81.7958885485082
B24006684,2024,2024-03-04,2024-03-04,Commercial,Alteration,105000,1978.25,11,West Boulevard,41.4624969193897,-81.7655405566795
B24006693,2024,2024-03-04,2024-03-04,Residential,Alteration,13000,105.85,12,Brooklyn Centre,41.4508509190477,-81.7127420739098
B24006722,2024,2024-03-04,2024-03-04,Residential,Fence-Garage-Deck-Pool,9000,90.7,17,Kamm's,41.4463149246107,-81.8136095432192
B24006762,2024,2024-03-04,2024-03-04,Residential,Alteration,6000,70.5,6,Buckeye-Shaker Square,41.4860769072452,-81.5984871062183
B24006638,2024,2024-03-04,2024-03-04,Residential,Alteration,9700,90.7,17,Kamm's,41.4333639275528,-81.8257370405603
B24005021,2024,2024-02-20,2024-03-01,Residential,Alteration,52145,307.85,17,Kamm's,41.4597339216209,-81.8022785455943
B24006481,2024,2024-03-01,2024-03-01,Residential,Alteration,1000,70.5,2,Union-Miles,41.4573129129486,-81.6076851057575
B24005412,2024,2024-02-23,2024-03-01,Residential,Alteration,9851.44,90.7,15,Edgewater,41.485446915094,-81.7635470553886
B24004932,2024,2024-02-20,2024-03-01,Residential,Alteration,17780,131.1,16,Jefferson,41.4420579244081,-81.7926890500137
B24006422,2024,2024-03-01,2024-03-01,Residential,Demolition,8000,90.7,3,Tremont,41.4861450318221,-81.6967626169386
B24006424,2024,2024-03-01,2024-03-01,Residential,Demolition,10000,90.7,3,Ohio City,41.4799029133536,-81.7048220739441
B24005038,2024,2024-02-20,2024-03-01,Residential,Alteration,21344,151.3,1,Lee-Harvard,41.4559899115073,-81.5716131169909
B24006417,2024,2024-03-01,2024-03-01,Residential,Demolition,7227,90.7,6,Kinsman,41.4675549116212,-81.6194706012777
B24006273,2024,2024-02-29,2024-03-01,Residential,Demolition,8100,90.7,5,Broadway-Slavic Village,41.4714699120699,-81.6444140932633
B24006427,2024,2024-03-01,2024-03-01,Residential,Alteration,11690,100.8,10,Euclid-Green,41.5579958919874,-81.5538606140351
B24005076,2024,2024-02-20,2024-03-01,Residential,Alteration,7931,80.6,17,Kamm's,41.4616239214738,-81.8065130441334
B24005077,2024,2024-02-20,2024-03-01,Residential,Alteration,14686,115.95,14,Brooklyn Centre,41.4557649177482,-81.7042280761265
B24003886,2024,2024-02-08,2024-02-29,Commercial,Alteration,100000,1715.6,6,Buckeye-Woodhill,41.4835479081349,-81.6076041036154
B24005931,2024,2024-02-27,2024-02-29,Residential,Demolition,27911,110.9,9,Glenville,41.5340918989488,-81.6091295989598
B24004928,2024,2024-02-19,2024-02-29,Residential,Alteration,3000,70.5,3,Tremont,41.4800649122009,-81.6808550813179
B24005932,2024,2024-02-27,2024-02-29,Residential,Demolition,8391,161.4,5,Broadway-Slavic Village,41.4770049113395,-81.6504845909338
B24003347,2024,2024-02-04,2024-02-29,Residential,Alteration,3242,70.5,10,St.Clair-Superior,41.5249569019994,-81.6385640906371
B24006193,2024,2024-02-29,2024-02-29,Residential,Correct Violation,63700,643.4,10,Euclid-Green,41.5470608942865,-81.560228112976
B24006246,2024,2024-02-29,2024-02-29,Residential,Fence-Garage-Deck-Pool,3000,90.7,3,Tremont,41.4813699120906,-81.6836045803623
B24004921,2024,2024-02-19,2024-02-29,Residential,Alteration,23701,161.4,2,Broadway-Slavic Village,41.4429309164901,-81.6270261009812
B24003213,2024,2024-02-02,2024-02-29,Residential,Alteration,10000,90.7,11,West Boulevard,41.4624159184685,-81.7455920628312
B24005460,2024,2024-02-23,2024-02-29,Residential,Alteration,4724,70.5,14,Brooklyn Centre,41.4534519182628,-81.7061630757216
B24005927,2024,2024-02-27,2024-02-29,Residential,Demolition,7791,141.2,9,Glenville,41.5289349000581,-81.6126620982975
B24003229,2024,2024-02-02,2024-02-29,Residential,Alteration,36156.48,227.05,11,West Boulevard,41.4498159216421,-81.7640375581939
B24005937,2024,2024-02-27,2024-02-29,Residential,Demolition,9691,110.9,7,Hough,41.5144449036858,-81.6334835930758
B24002313,2024,2024-01-25,2024-02-29,Commercial,Alteration,12000,356,11,West Boulevard,41.4660699183123,-81.7565270591596
B24003319,2024,2024-02-02,2024-02-29,Residential,Alteration,13298,110.9,8,North Shore Collinwood,41.5867598862401,-81.543488114851
B24005004,2024,2024-02-20,2024-02-29,Residential,Alteration,9903,90.7,11,Jefferson,41.4528309213822,-81.7702700560244
B24002222,2024,2024-01-24,2024-02-29,Commercial,Alteration,5305,325.1,15,Edgewater,41.4825669156242,-81.7636100556084
B24005921,2024,2024-02-27,2024-02-29,Residential,Demolition,8291,90.7,6,Broadway-Slavic Village,41.4642969129691,-81.6355265965963
B24004622,2024,2024-02-15,2024-02-29,Commercial,Sign,6500,127.12,3,Downtown,41.4955359095749,-81.6852830786707
B24004929,2024,2024-02-20,2024-02-29,Residential,Alteration,5900,70.5,16,Jefferson,41.4532809219825,-81.7848140515079
B24006186,2024,2024-02-29,2024-02-29,Residential,Alteration,32000,201.8,11,West Boulevard,41.4643959190383,-81.7654640565455
B24005935,2024,2024-02-27,2024-02-29,Residential,Demolition,10199,161.4,4,Mount Pleasant,41.4675909109682,-81.6056376055404
B24005933,2024,2024-02-27,2024-02-29,Residential,Demolition,7691,90.7,7,Hough,41.5192689023382,-81.6235655957352
B24004171,2024,2024-02-12,2024-02-28,Residential,Alteration,7362.28,80.6,16,Bellaire-Puritas,41.4372789251988,-81.7908800509668
B24005683,2024,2024-02-26,2024-02-28,Residential,Alteration,546,70.5,16,Jefferson,41.4435429240002,-81.7897955507815
B24006017,2024,2024-02-28,2024-02-28,Residential,Alteration,35000,216.95,15,Detroit Shoreway,41.4837729137319,-81.7280015664798
B24006042,2024,2024-02-28,2024-02-28,Commercial,Alteration,52828,989.45,6,Fairfax,41.4998829061653,-81.6294830955161
B24006040,2024,2024-02-28,2024-02-28,Residential,Alteration,50000,292.7,17,Kamm's,41.4533979235214,-81.8180330412694
B24006000,2024,2024-02-28,2024-02-28,Residential,Demolition,18277,90.7,7,Hough,41.514476785931,-81.6395575462151
B24006030,2024,2024-02-28,2024-02-28,Residential,Fence-Garage-Deck-Pool,8692,90.7,17,Kamm's,41.4473319239841,-81.8042360460208
B24006027,2024,2024-02-28,2024-02-28,Residential,Fence-Garage-Deck-Pool,3420,90.7,16,Bellaire-Puritas,41.43448892651,-81.8079215459513
B24006032,2024,2024-02-28,2024-02-28,Residential,Fence-Garage-Deck-Pool,1950,90.7,14,Tremont,41.4722619143043,-81.6952415775299
B24006028,2024,2024-02-28,2024-02-28,Residential,Fence-Garage-Deck-Pool,5799,90.7,3,Tremont,41.4828729120685,-81.6890090785718
B24004852,2024,2024-02-16,2024-02-28,Commercial,Tent-Stage,2000,122.7,15,Detroit Shoreway,41.4859959131465,-81.7241990674672
B24006046,2024,2024-02-28,2024-02-28,Residential,Alteration,19000,136.15,3,Ohio City,41.478507913753,-81.7078910731139
B24004850,2024,2024-02-16,2024-02-28,Commercial,Tent-Stage,2000,122.7,3,Downtown,41.497917263124,-81.6960359467798
B24006084,2024,2024-02-28,2024-02-28,Residential,Alteration,2750,70.5,10,Glenville,41.5395098976041,-81.6015876008375
B24005825,2024,2024-02-27,2024-02-28,Commercial,Demolition,92720,541.4,9,Glenville,41.5364318988872,-81.6169595963499
B24005390,2024,2024-02-23,2024-02-27,Commercial,Demolition,50000,500.2,13,Stockyards,41.4561699191804,-81.7363715661894
B24005957,2024,2024-02-27,2024-02-27,Residential,Alteration,4000,70.5,3,Tremont,41.4770949134451,-81.6957995769576
B24005387,2024,2024-02-23,2024-02-27,Commercial,Demolition,60000,520.8,13,Stockyards,41.4561699191804,-81.7363715661894
B24005831,2024,2024-02-27,2024-02-27,Residential,Alteration,6700,75.55,1,Union-Miles,41.4494559131047,-81.5801541148953
B24003346,2024,2024-02-04,2024-02-27,Residential,Alteration,18561,136.15,13,Old Brooklyn,41.4268119230763,-81.7046510783903
B24005971,2024,2024-02-27,2024-02-27,Residential,Alteration,1376,70.5,6,Fairfax,41.4983201788082,-81.628486819816
B24005910,2024,2024-02-27,2024-02-27,Residential,Alteration,12000,100.8,11,West Boulevard,41.4625059187562,-81.7520765608261
B24001728,2024,2024-01-18,2024-02-27,Commercial,Sign,455000,5664.4,3,Downtown,41.4955359095749,-81.6852830786707
B24005386,2024,2024-02-23,2024-02-27,Commercial,Demolition,50000,520.8,13,Stockyards,41.4561699191804,-81.7363715661894
B24005618,2024,2024-02-26,2024-02-27,Residential,Alteration,19000,136.15,16,Jefferson,41.4529569221172,-81.7864205510401
B24005903,2024,2024-02-27,2024-02-27,Residential,Alteration,7200,80.6,6,Fairfax,41.4986589059439,-81.6199610985542
B24003962,2024,2024-02-08,2024-02-26,Residential,Fence-Garage-Deck-Pool,9445,90.7,17,Kamm's,41.4597429216129,-81.8021435456351
B24005075,2024,2024-02-20,2024-02-26,Residential,Alteration,5600,90.7,10,Euclid-Green,41.5567088924273,-81.5582301127929
B24004870,2024,2024-02-16,2024-02-26,Residential,Alteration,10980,95.75,15,Cudell,41.4706419172592,-81.7519280601971
B24002479,2024,2024-01-26,2024-02-26,Residential,Alteration,9550,90.7,10,Glenville,41.5359818980511,-81.5973441024395
B23030133,2024,2024-02-26,2024-02-26,Residential,Alteration,56429,328.05,9,Glenville,41.5235079011066,-81.6138365983851
B24003660,2024,2024-02-06,2024-02-26,Residential,Fence-Garage-Deck-Pool,35370,141.2,9,Glenville,41.5161819022978,-81.610628099982
B24004872,2024,2024-02-16,2024-02-26,Residential,Alteration,8800,85.65,12,Broadway-Slavic Village,41.4497349157808,-81.6385550968656
B24004840,2024,2024-02-16,2024-02-26,Residential,Alteration,15513,121,17,Kamm's,41.4677799200335,-81.7998485456744
B24004845,2024,2024-02-16,2024-02-26,Residential,Alteration,1900,70.5,2,Broadway-Slavic Village,41.437287917191,-81.6198666036538
B24005633,2024,2024-02-26,2024-02-26,Residential,Alteration,2000,70.5,7,Goodrich-Kirtland Pk,41.5108539053133,-81.6541925869867
B24005657,2024,2024-02-26,2024-02-26,Residential,Alteration,20000,141.2,13,Old Brooklyn,41.4323019224697,-81.7132010753026
B24003096,2024,2024-02-01,2024-02-26,Residential,Fence-Garage-Deck-Pool,2952,90.7,10,Euclid-Green,41.5593458916572,-81.5520831144719
B24005436,2024,2024-02-23,2024-02-23,Residential,Alteration,11567,100.8,7,St.Clair-Superior,41.5210599032276,-81.649553087571
B24004821,2024,2024-02-16,2024-02-23,Residential,Alteration,12303,105.85,17,Kamm's,41.4488619239423,-81.809312044331
B24005439,2024,2024-02-23,2024-02-23,Residential,Alteration,16257,126.05,17,Kamm's,41.4468729249016,-81.8219750405975
B24005433,2024,2024-02-23,2024-02-23,Residential,Alteration,16351,126.05,2,Union-Miles,41.4560259132423,-81.6089181054835
B24004597,2024,2024-02-15,2024-02-23,Residential,Alteration,56706,328.05,15,Edgewater,41.4838899153803,-81.7635740555096
B24004521,2024,2024-02-14,2024-02-23,Commercial,Alteration,2000,325.1,14,Clark-Fulton,41.4626546853488,-81.7100641345133
B24000205,2024,2024-01-03,2024-02-23,Residential,Demolition,400,90.7,17,Kamm's,41.4578259218364,-81.7994300466298
B24004583,2024,2024-02-15,2024-02-23,Residential,Alteration,12702,105.85,16,Bellaire-Puritas,41.4311049266839,-81.7984175491578
B24005374,2024,2024-02-23,2024-02-23,Residential,Alteration,5200,70.5,11,West Boulevard,41.4642789191299,-81.7669580560951
B24003013,2024,2024-01-31,2024-02-23,Commercial,Alteration,14000,386.9,14,Clark-Fulton,41.4676089156863,-81.7065410744331
B24005430,2024,2024-02-23,2024-02-23,Residential,Alteration,61515,353.3,15,Detroit Shoreway,41.481144914495,-81.7340090648467
B24005440,2024,2024-02-23,2024-02-23,Residential,Alteration,17470,131.1,4,Mount Pleasant,41.4662319108829,-81.5984781078605
B24000531,2024,2024-01-05,2024-02-23,Residential,Correct Violation,11000,95.75,11,Jefferson,41.4587439202729,-81.7697120557059
