date,year,month,month_name,labor_force,employment,unemployment,unemployment_rate,data_flag
2020-03-01,2020,3,Mar,606275,571100,35175,5.8,revised
2020-04-01,2020,4,Apr,595829,471362,124467,20.9,revised
2020-05-01,2020,5,May,599206,496550,102656,17.1,revised
2020-06-01,2020,6,Jun,619127,526526,92601,15,revised
2020-07-01,2020,7,Jul,626312,542079,84233,13.4,revised
2020-08-01,2020,8,Aug,616454,551751,64703,10.5,revised
2020-09-01,2020,9,Sep,601836,543175,58661,9.7,revised
2020-10-01,2020,10,Oct,606810,558910,47900,7.9,revised
2020-11-01,2020,11,Nov,605882,562375,43507,7.2,revised
2020-12-01,2020,12,Dec,591587,549311,42276,7.1,revised
2021-01-01,2021,1,Jan,596333,550313,46020,7.7,revised
2021-02-01,2021,2,Feb,600694,551053,49641,8.3,revised
2021-03-01,2021,3,Mar,600908,556020,44888,7.5,revised
2021-04-01,2021,4,Apr,609504,567356,42148,6.9,revised
2021-05-01,2021,5,May,612411,570705,41706,6.8,revised
2021-06-01,2021,6,Jun,624217,577985,46232,7.4,revised
2021-07-01,2021,7,Jul,632378,591165,41213,6.5,revised
2021-08-01,2021,8,Aug,616971,581222,35749,5.8,revised
2021-09-01,2021,9,Sep,608154,577063,31091,5.1,revised
2021-10-01,2021,10,Oct,610101,582772,27329,4.5,revised
2021-11-01,2021,11,Nov,608287,582769,25518,4.2,revised
2021-12-01,2021,12,Dec,598735,574245,24490,4.1,revised
2022-01-01,2022,1,Jan,596876,566194,30682,5.1,revised
2022-02-01,2022,2,Feb,602880,569203,33677,5.6,revised
2022-03-01,2022,3,Mar,602243,571737,30506,5.1,revised
2022-04-01,2022,4,Apr,608906,580228,28678,4.7,revised
2022-05-01,2022,5,May,613222,583518,29704,4.8,revised
2022-06-01,2022,6,Jun,626635,593251,33384,5.3,revised
2022-07-01,2022,7,Jul,628643,597762,30881,4.9,revised
2022-08-01,2022,8,Aug,627801,599488,28313,4.5,revised
2022-09-01,2022,9,Sep,613635,588417,25218,4.1,revised
2022-10-01,2022,10,Oct,614941,591058,23883,3.9,revised
2022-11-01,2022,11,Nov,608815,587069,21746,3.6,revised
2022-12-01,2022,12,Dec,603403,583216,20187,3.3,revised
2023-01-01,2023,1,Jan,602617,577878,24739,4.1,revised
2023-02-01,2023,2,Feb,609712,581186,28526,4.7,revised
2023-03-01,2023,3,Mar,612231,587364,24867,4.1,revised
2023-04-01,2023,4,Apr,614176,592296,21880,3.6,revised
2023-05-01,2023,5,May,613619,588632,24987,4.1,revised
2023-06-01,2023,6,Jun,631472,603584,27888,4.4,revised
2023-07-01,2023,7,Jul,638142,612866,25276,4,revised
2023-08-01,2023,8,Aug,628022,603970,24052,3.8,revised
2023-09-01,2023,9,Sep,618507,596277,22230,3.6,revised
2023-10-01,2023,10,Oct,622312,602833,19479,3.1,revised
2023-11-01,2023,11,Nov,623838,605237,18601,3,revised
2023-12-01,2023,12,Dec,607536,588396,19140,3.2,revised
2024-01-01,2024,1,Jan,610641,586602,24039,3.9,revised
2024-02-01,2024,2,Feb,611408,583766,27642,4.5,revised
2024-03-01,2024,3,Mar,615804,590671,25133,4.1,revised
2024-04-01,2024,4,Apr,625479,602131,23348,3.7,revised
2024-05-01,2024,5,May,624738,599286,25452,4.1,revised
2024-06-01,2024,6,Jun,636988,608188,28800,4.5,revised
2024-07-01,2024,7,Jul,646486,616955,29531,4.6,revised
2024-08-01,2024,8,Aug,637556,612945,24611,3.9,revised
2024-09-01,2024,9,Sep,631321,609247,22074,3.5,revised
2024-10-01,2024,10,Oct,629019,609173,19846,3.2,revised
2024-11-01,2024,11,Nov,626653,605540,21113,3.4,revised
2024-12-01,2024,12,Dec,620513,598787,21726,3.5,revised
